iter	RMSE
0	350207.323
1	339434.1434
2	329094.3048
3	319174.4181
4	310422.7458
5	301822.009
6	293532.313
7	286190.8865
8	278810.1681
9	271530.5836
10	265188.3465
11	259037.8668
12	253305.2395
13	247450.4832
14	242425.6765
15	236852.2425
16	231983.4648
17	227435.5186
18	222940.7564
19	218969.6785
20	214898.261
21	210778.8256
22	207241.203
23	203964.3344
24	200420.8397
25	197281.2898
26	194531.574
27	191695.8833
28	188466.6866
29	185947.1624
30	183221.0743
31	180797.6851
32	178436.6887
33	176421.5333
34	174461.2798
35	172476.282
36	170410.0198
37	168735.0093
38	166961.0515
39	165080.5861
40	163562.9968
41	162152.558
42	160717.1674
43	159398.646
44	158006.7203
45	156781.0673
46	155404.5135
47	154129.9586
48	152698.2227
49	151398.4952
50	150105.4007
51	148991.2414
52	148031.1916
53	147105.244
54	146240.4244
55	145196.9406
56	144409.7263
57	143544.1705
58	142605.7963
59	141652.4472
60	140803.253
61	139983.1113
62	139391.1193
63	138627.733
64	137890.1386
65	137330.6455
66	136718.3755
67	136052.6614
68	135484.3038
69	134890.1821
70	134279.9831
71	133668.1703
72	133173.2584
73	132472.2229
74	132059.6184
75	131526.7771
76	131133.3389
77	130729.2667
78	130330.829
79	129850.5338
80	129296.4797
81	128878.7338
82	128477.3319
83	128088.1122
84	127766.1644
85	127432.6831
86	127025.3624
87	126678.6555
88	126397.2542
89	126066.1955
90	125732.9081
91	125369.4456
92	125045.5267
93	124749.3725
94	124407.0625
95	124082.7331
96	123851.1627
97	123558.9874
98	123334.0654
99	123075.9685
100	122718.4402
101	122484.127
102	122241.8517
103	122034.2274
104	121803.7452
105	121599.4316
106	121191.7926
107	121005.0152
108	120619.4041
109	120397.3054
110	120160.7543
111	119953.11
112	119588.9059
113	119335.8328
114	119108.5046
115	118906.9764
116	118698.9168
117	118502.2269
118	118214.9529
119	117976.9218
120	117768.7585
121	117568.4731
122	117364.1818
123	117166.0021
124	116954.1466
125	116757.9199
126	116601.4092
127	116461.7377
128	116293.2437
129	116132.9444
130	115939.4934
131	115770.5994
132	115621.831
133	115482.6524
134	115286.4888
