iter	Passed	Remaining
0	152	76123
1	154	38554
2	156	25993
3	158	19702
4	160	15926
5	162	13401
6	164	11599
7	166	10245
8	168	9193
9	170	8351
10	172	7661
11	174	7085
12	176	6598
13	178	6181
14	179	5817
15	181	5501
16	183	5220
17	185	4971
18	187	4748
19	189	4546
20	191	4366
21	193	4200
22	195	4047
23	197	3909
24	199	3781
25	200	3663
26	203	3568
27	205	3465
28	207	3369
29	209	3279
30	211	3196
31	213	3116
32	215	3042
33	217	2975
34	219	2911
35	221	2850
36	223	2792
37	225	2736
38	226	2682
39	228	2632
40	230	2583
41	232	2538
42	234	2493
43	236	2450
44	238	2410
45	240	2371
46	242	2333
47	243	2297
48	245	2262
49	247	2229
50	249	2198
51	251	2167
52	253	2137
53	255	2108
54	257	2080
55	258	2053
56	260	2027
57	262	2002
58	264	1978
59	266	1954
60	268	1932
61	270	1909
62	272	1888
63	274	1867
64	276	1847
65	277	1827
66	279	1807
67	281	1789
68	283	1770
69	285	1752
70	287	1735
71	289	1718
72	290	1701
73	292	1685
74	294	1669
75	296	1654
76	298	1638
77	300	1623
78	302	1609
79	303	1595
80	305	1581
81	307	1569
82	309	1556
83	311	1542
84	313	1530
85	315	1517
86	317	1505
87	319	1493
88	320	1482
89	323	1472
90	325	1461
91	327	1451
92	329	1440
93	331	1430
94	333	1420
95	334	1409
96	336	1399
97	338	1390
98	340	1380
99	342	1370
100	344	1361
101	346	1352
102	348	1343
103	350	1334
104	352	1326
105	354	1317
106	357	1313
107	359	1305
108	361	1297
109	363	1289
110	365	1281
111	367	1272
112	369	1266
113	371	1259
114	373	1252
115	376	1244
116	377	1237
117	379	1229
118	381	1222
119	383	1215
120	386	1209
121	388	1203
122	390	1197
123	392	1189
124	394	1183
125	396	1176
126	398	1170
127	400	1163
128	402	1157
129	404	1150
130	406	1144
131	408	1137
132	409	1131
133	411	1124
134	413	1118
135	415	1111
136	417	1105
137	419	1099
138	421	1093
139	423	1087
140	424	1081
141	426	1076
142	428	1070
143	430	1064
144	432	1058
145	434	1053
146	436	1047
147	438	1042
148	439	1036
149	441	1031
150	443	1025
151	445	1020
152	447	1015
153	449	1009
154	451	1004
155	453	999
156	455	994
157	457	989
158	458	984
159	460	979
160	462	974
161	464	969
162	466	964
163	468	959
164	470	954
165	472	949
166	473	945
167	475	940
168	477	935
169	479	930
170	481	926
171	483	921
172	485	917
173	487	912
174	489	908
175	490	903
176	492	899
177	494	894
178	496	890
179	498	886
180	500	881
181	501	877
182	503	872
183	505	868
184	507	864
185	509	860
186	511	856
187	513	851
188	515	847
189	517	844
190	519	839
191	521	835
192	523	831
193	524	827
194	526	823
195	528	820
196	530	816
197	532	812
198	534	808
199	536	804
200	538	801
201	540	797
202	542	793
203	544	789
204	546	785
205	548	782
206	549	778
207	553	776
208	555	773
209	557	770
210	560	767
211	562	764
212	565	761
213	567	758
214	570	755
215	572	752
216	574	749
217	576	746
218	578	742
219	580	739
220	582	735
221	585	732
222	587	729
223	589	726
224	592	723
225	594	720
226	596	717
227	598	714
228	600	711
229	602	707
230	604	704
231	606	700
232	608	697
233	610	694
234	612	691
235	615	688
236	617	685
237	619	682
238	621	678
239	623	675
240	625	672
241	627	669
242	629	666
243	631	662
244	633	659
245	635	656
246	637	653
247	639	649
248	641	646
249	643	643
250	645	640
251	647	637
252	649	634
253	651	631
254	653	628
255	655	625
256	657	621
257	659	618
258	661	615
259	663	612
260	665	609
261	667	606
262	669	603
263	671	600
264	673	597
265	675	594
266	677	591
267	679	588
268	681	585
269	683	581
270	685	578
271	687	575
272	688	572
273	691	570
274	694	567
275	696	564
276	698	561
277	700	559
278	702	556
279	704	553
280	706	550
281	708	547
282	710	544
283	712	541
284	714	538
285	716	535
286	717	532
287	719	529
288	721	527
